symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,10,-2.429,120,-1167.14,23.58,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,12,-2.429,120,-1167.14,23.58,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,0,-9.681,102,-5124.30,59.39,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,6,-9.794,98,-5178.56,59.61,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,8,-10.778,100,-5922.11,67.21,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,10,-10.778,100,-5922.11,67.21,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,12,-10.065,101,-5425.99,62.33,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,0,-5.851,90,-4279.65,57.25,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,6,-6.868,74,-3845.77,46.53,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,8,-6.333,79,-3548.29,45.01,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,10,-6.275,80,-3589.32,45.22,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,12,-5.122,84,-3387.45,50.15,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,0,-3.025,82,-3559.16,57.57,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,6,0.329,61,-46.82,18.55,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,8,-0.217,71,-296.78,20.67,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,10,-0.577,74,-590.13,24.39,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,12,-1.466,75,-935.15,25.06,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,0,-3.814,75,-3633.26,58.75,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,6,-1.970,45,-1574.93,28.79,0.31
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,8,1.209,48,436.61,14.84,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,10,0.816,54,171.36,23.97,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,12,-0.425,62,-424.09,21.04,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,0,-4.452,143,-2527.51,41.80,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,6,-3.937,140,-2084.35,37.13,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,8,-4.358,142,-2527.58,41.72,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,10,-4.358,142,-2527.58,41.72,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,12,-4.640,143,-2777.83,44.30,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,0,-5.008,129,-2905.84,40.48,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,6,-4.190,125,-2271.96,33.82,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,8,-5.017,128,-2939.14,40.73,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,10,-5.017,128,-2939.14,40.73,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,12,-4.999,128,-2925.65,40.60,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,0,-3.613,120,-1861.34,28.20,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,6,-3.146,117,-1566.04,25.01,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,8,-4.187,119,-2281.20,32.32,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,10,-3.616,119,-1888.52,28.40,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,12,-3.616,119,-1888.52,28.40,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,0,-9.475,98,-4933.91,57.17,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,6,-9.608,94,-5005.96,57.57,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,8,-10.703,96,-5749.51,65.16,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,10,-10.703,96,-5749.51,65.16,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,12,-9.946,97,-5274.17,60.49,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,0,-5.409,83,-3536.27,42.91,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,6,-4.047,76,-2236.01,38.76,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,8,-4.997,76,-2515.92,38.53,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,10,-5.680,77,-3012.22,40.35,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,12,-4.049,77,-2470.61,37.59,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,0,-2.478,73,-2928.01,53.21,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,6,1.224,59,542.16,19.08,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,8,0.654,71,331.75,22.52,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,10,-1.087,70,-1318.45,40.30,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,12,-2.123,71,-1663.47,40.30,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,0,-3.451,65,-3185.95,53.29,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,6,-12.089,28,-4473.91,52.10,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,8,-6.832,31,-2595.01,36.30,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,10,-9.632,41,-4905.90,57.76,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,12,-14.834,56,-6841.67,72.88,0.27
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,0,-5.972,141,-3945.79,54.30,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,6,-5.579,137,-3484.60,49.37,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,8,-5.887,140,-3945.86,54.22,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,10,-5.887,140,-3945.86,54.22,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,12,-6.095,141,-4196.11,56.80,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,0,-7.068,124,-4714.25,57.05,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,6,-6.392,120,-4041.84,50.01,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,8,-7.083,123,-4747.56,57.31,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,10,-7.083,123,-4747.56,57.31,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,12,-7.069,123,-4734.06,57.17,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.2,0,-5.436,112,-3217.58,41.13,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.2,6,-4.967,110,-2925.98,38.05,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.2,8,-5.949,112,-3641.14,45.36,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.2,10,-5.443,111,-3244.76,41.32,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.2,12,-5.443,111,-3244.76,41.32,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,0,-10.809,90,-5648.96,63.68,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,6,-10.645,85,-5536.69,62.16,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,8,-11.827,88,-6308.22,70.12,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,10,-11.827,88,-6308.22,70.12,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,12,-11.269,89,-5989.22,67.00,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,0,-14.493,71,-9124.77,100.69,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,6,-16.436,64,-9246.51,103.71,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,8,-8.387,60,-8069.63,91.62,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,10,-8.051,62,-8672.22,95.44,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,12,-10.617,65,-8059.11,89.55,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,0,-2.647,66,-2564.28,45.47,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,6,-0.974,51,-1047.44,27.16,0.31
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,8,-1.828,62,-1642.56,30.67,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,10,-2.610,61,-2137.81,29.93,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,12,-5.195,61,-3470.43,42.96,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,4.0,0,-2.904,57,-2174.71,41.70,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,4.0,6,7.120,28,2560.01,14.79,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,4.0,8,4.916,31,1654.34,15.81,0.32
