symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,4.0,3.477,28,3842.97,11.21,0.39,0,874,0.001,0.451,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,donchian,chan_ts,15,15,2.0,14,1.0,3.5,0.369,98,1058.06,15.90,0.37,0,699,0.000,3.041,-15.818,5.651,0,2,1.0000,0,1
BTCUSDT,donchian,sig_be,20,20,2.0,14,2.0,1.8,0.779,70,1263.81,20.68,0.54,0,874,0.005,1.622,-13.164,-2.899,0,2,0.4958,0,1
BTCUSDT,dual_momentum,chan,50,50,2.0,14,1.0,4.0,2.924,38,3338.08,8.87,0.45,0,349,0.009,0.528,0.000,0.000,0,0,0.4694,0,1
BTCUSDT,dual_momentum,chan_ts,15,15,2.0,14,2.0,3.5,2.437,61,3573.57,14.71,0.44,0,524,0.002,0.551,0.000,0.000,0,0,0.5004,0,1
BTCUSDT,dual_momentum,sig_be,15,15,2.0,14,1.5,4.0,1.530,148,3413.66,11.36,0.47,0,524,0.017,0.598,-5.433,-12.828,0,5,0.5056,0,1
BTCUSDT,ema_crossover,chan,12,20,2.0,14,2.0,4.0,5.350,24,4799.03,3.61,0.42,0,699,0.003,0.283,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,chan_ts,20,30,2.0,14,2.0,4.0,2.682,37,2226.88,17.54,0.43,0,174,0.034,0.414,0.000,0.000,0,0,0.4890,0,1
BTCUSDT,ema_crossover,sig_be,12,50,2.0,14,2.0,3.0,2.902,41,2923.66,13.95,0.49,0,699,0.006,0.581,0.000,0.000,0,0,0.4676,0,1
BTCUSDT,keltner_breakout,chan,25,25,3.0,14,2.0,4.0,5.406,16,3418.26,3.66,0.50,0,524,0.017,0.275,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,chan_ts,25,25,3.0,14,1.0,4.0,5.305,22,4143.60,2.71,0.41,0,524,0.048,0.304,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,sig_be,20,20,3.0,14,1.0,3.0,4.584,19,1976.39,2.84,0.37,0,524,0.065,0.336,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan,7,7,3.5,14,1.2,4.0,3.865,28,3644.81,7.61,0.36,0,349,0.000,0.425,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan_ts,10,10,3.5,14,1.2,3.5,2.213,39,1806.50,7.50,0.46,0,524,0.010,0.663,0.000,0.000,0,0,0.4844,0,1
BTCUSDT,supertrend,sig_be,14,14,3.5,14,1.0,4.0,2.276,42,1409.86,4.18,0.57,0,349,0.026,0.777,0.000,0.000,0,0,0.4854,0,1
BTCUSDT,tsmom,chan,50,20,0.1,14,2.0,3.5,5.241,30,3222.93,3.94,0.60,0,349,0.017,0.535,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,tsmom,chan_ts,50,20,0.1,14,2.0,3.5,5.381,32,3487.81,3.87,0.56,0,349,0.009,0.481,0.000,0.000,0,0,0.4890,0,1
BTCUSDT,tsmom,sig_be,50,20,0.1,14,2.0,3.0,1.763,71,1963.37,10.61,0.38,0,349,0.011,1.108,0.000,0.000,0,0,0.4880,0,1
BTCUSDT,rsi2,chan,5,50,10.0,14,2.0,4.0,17.418,7,2117.48,2.10,0.86,0,174,0.034,0.136,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,chan_ts,5,50,10.0,14,2.0,3.0,17.132,8,2424.41,2.27,0.75,0,174,0.029,0.127,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,sig_be,5,50,10.0,14,1.2,2.2,9.810,8,1535.36,1.34,0.38,1,174,0.856,0.089,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan,2,15,1.5,14,1.5,4.0,4.174,28,5480.97,11.79,0.36,0,349,0.003,0.328,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan_ts,14,25,2.5,14,1.2,3.5,2.273,50,2610.70,15.04,0.50,0,174,0.086,0.369,0.000,0.000,0,0,0.4936,0,1
BTCUSDT,rsi_bb_mr,sig_be,2,25,2.5,14,2.0,2.5,1.237,56,1483.26,13.27,0.55,0,349,0.140,0.301,0.000,0.000,0,0,0.5042,0,1
