symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,0,-1.327,156,-1883.13,37.05,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,6,-1.247,154,-1690.22,34.96,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,8,-1.368,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,10,-1.368,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,12,-1.368,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,0,-1.612,145,-2470.89,38.05,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,6,-1.327,141,-1837.01,31.40,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,8,-1.613,144,-2504.19,38.31,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,10,-1.613,144,-2504.19,38.31,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,12,-1.607,144,-2490.69,38.17,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,0,-1.120,137,-1455.44,26.39,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,6,-0.883,134,-1004.45,21.64,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,8,-1.239,136,-1719.61,28.96,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,10,-1.119,136,-1482.61,26.59,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,12,-1.119,136,-1482.61,26.59,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,0,-2.304,125,-3749.94,51.08,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,6,-2.777,121,-4655.37,59.82,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,8,-2.643,123,-4547.75,58.90,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,10,-2.643,123,-4547.75,58.90,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,12,-2.422,124,-4051.63,54.02,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,0,-2.139,116,-5377.02,67.62,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,6,-2.712,93,-5457.93,65.60,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,8,-2.644,102,-5729.83,69.03,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,10,-2.548,105,-5282.88,64.80,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,12,-2.043,110,-4626.87,61.23,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,0,-1.912,101,-5112.24,62.78,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,6,-4.433,74,-6922.99,78.73,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,8,-4.413,88,-7416.97,84.79,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,10,-4.269,93,-7284.61,83.86,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,12,-1.631,94,-3125.56,42.36,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,0,-2.159,92,-5344.99,64.39,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,6,-4.844,64,-7223.70,80.94,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,8,-3.685,67,-5212.16,61.07,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,10,-3.945,72,-6171.90,71.07,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,12,-4.011,75,-6136.80,70.96,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,0,-1.327,144,-2144.06,39.50,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,6,-1.154,141,-1716.01,34.98,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,8,-1.274,143,-2074.03,38.72,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,10,-1.274,143,-2074.03,38.72,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,12,-1.367,144,-2309.17,41.15,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,0,-1.499,130,-2516.85,37.33,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,6,-1.219,126,-1882.97,30.67,0.45
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,8,-1.502,129,-2550.16,37.58,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,10,-1.502,129,-2550.16,37.58,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,12,-1.496,129,-2536.66,37.45,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,0,-0.822,121,-1139.96,23.39,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,6,-0.668,118,-844.66,20.69,0.45
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,8,-1.010,120,-1559.82,27.50,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,10,-0.824,120,-1167.14,23.58,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,12,-0.824,120,-1167.14,23.58,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,0,-3.284,102,-5124.30,59.39,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,6,-3.322,98,-5178.56,59.61,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,8,-3.656,100,-5922.11,67.21,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,10,-3.656,100,-5922.11,67.21,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,12,-3.414,101,-5425.99,62.33,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,0,-1.985,90,-4279.65,57.25,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,6,-2.330,74,-3845.77,46.53,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,8,-2.148,79,-3548.29,45.01,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,10,-2.128,80,-3589.32,45.22,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,12,-1.737,84,-3387.45,50.15,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,0,-1.026,82,-3559.16,57.57,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,6,0.112,61,-46.82,18.55,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,8,-0.074,71,-296.78,20.67,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,10,-0.196,74,-590.13,24.39,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,12,-0.497,75,-935.15,25.06,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,0,-1.294,75,-3633.26,58.75,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,6,-0.668,45,-1574.93,28.79,0.31
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,8,0.410,48,436.61,14.84,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,10,0.277,54,171.36,23.97,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,12,-0.144,62,-424.09,21.04,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,0,-1.510,143,-2527.51,41.80,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,6,-1.335,140,-2084.35,37.13,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,8,-1.478,142,-2527.58,41.72,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,10,-1.478,142,-2527.58,41.72,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,12,-1.574,143,-2777.83,44.30,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,0,-1.699,129,-2905.84,40.48,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,6,-1.421,125,-2271.96,33.82,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,8,-1.702,128,-2939.14,40.73,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,10,-1.702,128,-2939.14,40.73,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,12,-1.696,128,-2925.65,40.60,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,0,-1.226,120,-1861.34,28.20,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,6,-1.067,117,-1566.04,25.01,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,8,-1.420,119,-2281.20,32.32,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,10,-1.227,119,-1888.52,28.40,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,12,-1.227,119,-1888.52,28.40,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,0,-3.214,98,-4933.91,57.17,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,6,-3.259,94,-5005.96,57.57,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,8,-3.631,96,-5749.51,65.16,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,10,-3.631,96,-5749.51,65.16,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,12,-3.374,97,-5274.17,60.49,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,0,-1.835,83,-3536.27,42.91,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,6,-1.373,76,-2236.01,38.76,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,8,-1.695,76,-2515.92,38.53,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,10,-1.927,77,-3012.22,40.35,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,12,-1.373,77,-2470.61,37.59,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,0,-0.841,73,-2928.01,53.21,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,6,0.415,59,542.16,19.08,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,8,0.222,71,331.75,22.52,0.41
