timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,23.2898,58.0348,54692.8279,19482.7330,10.3813,0.6801,4.7266,272,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,21.7396,7,0.9794,0.2500,0.2000,0.1479,0.1500,0.0948,0.1000,0.0367,0.0000,0.7500,89.8780
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,56.8978,240.3419,194656810.3559,22490.6158,6.0554,0.8861,11.8233,158,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,43.3852,6,0.9783,0.2500,0.2000,0.1500,0.1500,0.0783,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,28.1795,81.2100,6437.8559,8899.9590,6.9571,0.7244,4.2338,225,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2)",1.0000,27.3084,8,0.9781,0.2500,0.2000,0.1460,0.1500,0.0905,0.1000,0.0416,0.0000,1.0000,189.3896
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,22.7312,55.7576,73838.2125,19102.4447,10.6602,0.6795,4.6204,259,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=20,bb_std=2)",1.0000,22.1976,9,0.9781,0.2500,0.2000,0.1476,0.1500,0.0939,0.1000,0.0366,0.0000,0.7500,69.0953
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,45.0403,152.3774,14719704.2790,16738.5644,9.1096,0.8158,7.0798,152,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,39.5718,8,0.9766,0.2500,0.2000,0.1499,0.1500,0.0767,0.1000,0.0500,0.0000,1.0000,189.7728
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,57.8793,252.8964,946583992.6959,24465.9754,6.2728,0.9073,11.6479,151,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,51.6762,7,0.9764,0.2500,0.2000,0.1500,0.1500,0.0764,0.1000,0.0500,0.0000,1.0000,225.1050
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,54.9131,200.7531,358499594.6284,22402.4777,7.5542,0.8933,9.3939,150,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=30,bb_std=1.5)",1.0000,47.5759,6,0.9762,0.2500,0.2000,0.1500,0.1500,0.0762,0.1000,0.0500,0.0000,1.0000,230.0723
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,26.5285,82.0265,12545.4174,12498.8954,14.5914,0.7179,3.8472,234,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=15,bb_std=2)",1.0000,34.2568,7,0.9758,0.2500,0.2000,0.1434,0.1500,0.0915,0.1000,0.0409,0.0000,1.0000,55.8450
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,24.3431,61.0797,483.3080,15399.1000,11.9399,0.6856,3.3871,493,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,22.1612,7,0.9751,0.2500,0.2000,0.1381,0.1500,0.0997,0.1000,0.0373,0.0000,0.6000,50.1628
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,41.9096,126.5327,6973785.6145,15335.4921,10.5297,0.7933,5.8882,150,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=30,bb_std=1.5)",1.0000,34.3366,7,0.9750,0.2500,0.2000,0.1496,0.1500,0.0762,0.1000,0.0493,0.0000,1.0000,67.1979
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,58.5240,258.2076,851440432.9138,22031.2955,5.4532,0.8889,12.7227,144,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,48.7065,7,0.9744,0.2500,0.2000,0.1500,0.1500,0.0744,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,57.0383,252.8443,1213705325.8049,23056.0886,6.1891,0.9028,11.6262,144,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=15,bb_std=1.5)",1.0000,52.7635,6,0.9744,0.2500,0.2000,0.1500,0.1500,0.0744,0.1000,0.0500,0.0000,1.0000,220.8551
