fold,parameters,train_date_from,train_date_to,train_bars,train_price_start,train_price_end,train_sharpe,train_sortino,train_calmar,train_return,train_maxdd,train_trades,train_win_rate,train_profit_factor,train_pnl,train_net_pnl,train_fees,test_date_from,test_date_to,test_bars,test_price_start,test_price_end,test_sharpe,test_sortino,test_calmar,test_return,test_maxdd,test_trades,test_win_rate,test_profit_factor,test_pnl,test_net_pnl,test_fees,degradation,passed,skipped,skip_reason
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,22.3652,50.2682,8533.2436,7.9774,3.2553,30,0.7333,3.3039,822.9439,797.7439,25.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,36.9234,120.4470,300037.6685,1.8108,0.2963,6,0.8333,7.5337,192.6825,181.0825,11.6000,1.6509,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,41.8339,113.0377,9540.8514,9.3121,0.7895,45,0.8889,11.7809,965.6095,931.2095,34.4000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,94.2570,0.0000,0.0000,5.4134,0.0000,12,1.0000,0.0000,554.1381,541.3381,12.8000,2.2531,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,46.0219,350.2555,656167.3154,14.5552,0.3848,38,0.8158,22.2239,1484.3224,1455.5224,28.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-93.1388,-41.8159,-154.0472,-0.7089,0.6486,2,0.0000,0.0000,-63.2883,-70.8883,7.6000,-2.0238,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,49.7565,343.9743,824802.2236,14.1079,0.6076,34,0.8235,23.3091,1440.7911,1410.7911,30.0000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,27.1664,68.1219,36769.8628,2.2736,0.7301,9,0.7778,4.2806,239.7612,227.3612,12.4000,0.5460,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-59.9040,-37.1805,-3.6011,-26.6408,27.7696,27,0.2222,0.0648,-2634.0790,-2664.0790,30.0000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,38.6855,208.6790,64790.2562,0.4698,0.0675,3,0.6667,10.1220,54.5794,46.9794,7.6000,0.0000,0,1,"OOS trades=3 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,22.2564,49.0015,10317.9098,7.5068,3.5675,27,0.6667,2.9860,776.2802,750.6802,25.6000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,165.2979,0.0000,0.0000,5.9923,0.0000,9,1.0000,0.0000,607.6297,599.2297,8.4000,7.4270,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,51.1988,660.1589,338140.6035,12.2984,0.1088,43,0.9302,81.6963,1261.4377,1229.8377,31.6000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,111.2593,0.0000,0.0000,4.9452,0.0000,10,1.0000,0.0000,506.5218,494.5218,12.0000,2.1731,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,64.6920,665.0075,11617593.8166,16.9490,0.1586,35,0.9429,69.9187,1726.0993,1694.8993,31.2000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-581.3563,-46.6466,-93.3945,-1.1227,1.0703,3,0.0000,0.0000,-104.6730,-112.2730,7.6000,-8.9865,0,1,"OOS trades=3 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,64.8414,493.8697,5866105.4923,16.8566,0.3933,34,0.8824,41.0666,1714.4592,1685.6592,28.8000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,27.1664,68.1219,36769.8628,2.2736,0.7301,9,0.7778,4.2806,239.7612,227.3612,12.4000,0.4190,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-59.0773,-37.0117,-3.9350,-24.2552,25.4132,24,0.2083,0.0675,-2396.7195,-2425.5195,28.8000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,38.6855,208.6790,64790.2562,0.4698,0.0675,3,0.6667,10.1220,54.5794,46.9794,7.6000,0.0000,0,1,"OOS trades=3 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,20.1906,43.0971,8056.7084,6.6235,3.5819,25,0.6800,2.7615,687.1521,662.3521,24.8000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,182.0219,0.0000,0.0000,4.7214,0.0000,8,1.0000,0.0000,480.1366,472.1366,8.0000,9.0152,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,51.8612,578.3139,445952.4796,12.6455,0.1302,41,0.9512,68.8071,1295.7492,1264.5492,31.2000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,126.3233,0.0000,0.0000,6.3132,0.0000,10,1.0000,0.0000,642.5183,631.3183,11.2000,2.4358,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,66.3782,942.5238,84619062.3242,18.7245,0.1071,33,0.9091,89.7175,1903.2452,1872.4452,30.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-581.3563,-46.6466,-93.3945,-1.1227,1.0703,3,0.0000,0.0000,-104.6730,-112.2730,7.6000,-8.7582,0,1,"OOS trades=3 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,44.1474,198.2444,1000525.0866,14.0680,1.1230,31,0.8065,12.6338,1435.5984,1406.7984,28.8000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,22.6479,56.5059,13006.5210,2.1748,0.9340,10,0.7000,3.4707,229.8792,217.4792,12.4000,0.5130,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-53.2300,-35.4347,-4.9088,-19.4766,20.3715,22,0.1364,0.0651,-1916.0568,-1947.6568,31.6000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,30.2003,99.9933,12901.3229,0.7310,0.2205,5,0.6000,4.9501,81.4971,73.0971,8.4000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,21.1461,45.9728,6380.6376,7.6772,3.5312,30,0.7333,3.0414,792.1232,767.7232,24.4000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,61.4086,0.0000,0.0000,1.7652,0.0000,4,1.0000,0.0000,186.9200,176.5199,10.4000,2.9040,0,1,"OOS trades=4 < 5"
3,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,40.8715,100.3560,11754.5575,9.5845,1.0029,42,0.8810,9.6798,991.2468,958.4468,32.8000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,92.9525,0.0000,0.0000,5.0513,0.0000,11,1.0000,0.0000,517.5310,505.1310,12.4000,2.2743,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,46.8431,339.8842,871855.4164,14.0263,0.4252,35,0.8000,20.8228,1430.2293,1402.6293,27.6000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-91.5024,-41.6646,-151.2813,-0.7168,0.6606,2,0.0000,0.0000,-64.4812,-71.6812,7.2000,-1.9534,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,50.3010,283.2659,9018122.0627,15.6623,0.6727,29,0.8621,22.3205,1591.8283,1566.2283,25.6000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,34.8586,122.1386,256188.5503,2.5982,0.4878,8,0.7500,6.5779,270.2218,259.8219,10.4000,0.6930,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-43.2504,-32.1394,-6.6102,-14.0952,15.1281,20,0.2000,0.0910,-1382.7182,-1409.5182,26.8000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,58.8980,764.3155,800592.3043,0.9757,0.0309,4,0.7500,46.0715,104.3697,97.5697,6.8000,0.0000,0,1,"OOS trades=4 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,38.6061,151.5605,843079.4924,12.7185,1.3974,28,0.8571,9.2712,1293.0464,1271.8464,21.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,62.6492,0.0000,0.0000,1.8693,0.0000,4,1.0000,0.0000,195.7301,186.9301,8.8000,1.6228,0,1,"OOS trades=4 < 5"
3,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,49.9729,580.8560,160268.7223,8.9587,0.1569,34,0.9412,60.4059,921.0676,895.8676,25.2000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,110.8080,0.0000,0.0000,5.0372,0.0000,10,1.0000,0.0000,515.3188,503.7188,11.6000,2.2174,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,53.0009,650.7198,38477311.9122,17.2338,0.2868,30,0.9000,56.9185,1746.5822,1723.3822,23.2000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,0.0000,0.0000,-403.5862,-0.2948,0.2467,1,0.0000,0.0000,-23.8765,-29.4765,5.6000,0.0000,0,1,"OOS trades=1 < 5"
0,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,49.7903,276.9308,4452877.3387,13.4885,0.6629,27,0.8519,20.0612,1374.0537,1348.8537,25.2000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,43.1310,216.6342,1743085.8219,3.1823,0.3322,8,0.7500,11.0318,327.8342,318.2343,9.6000,0.8663,1,0,""
1,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-45.1843,-32.8468,-5.7992,-16.1691,17.2437,21,0.1905,0.0847,-1589.3111,-1616.9111,27.6000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,58.8980,764.3155,800592.3043,0.9717,0.0309,4,0.7500,46.0715,104.3697,97.1697,7.2000,0.0000,0,1,"OOS trades=4 < 5"
2,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,32.5910,103.9405,170742.9601,10.3151,1.7110,27,0.8148,6.5959,1052.7052,1031.5052,21.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,62.4442,0.0000,0.0000,1.9681,0.0000,4,1.0000,0.0000,205.6119,196.8119,8.8000,1.9160,0,1,"OOS trades=4 < 5"
3,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,71.4741,2164.7492,1273340.9807,10.2419,0.0296,36,0.9444,303.3871,1050.1866,1024.1866,26.0000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,90.9072,0.0000,0.0000,4.4060,0.0000,9,1.0000,0.0000,451.3991,440.5991,10.8000,1.2719,1,0,""
4,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,60.1044,651.4486,25144339.6403,14.7790,0.1942,28,0.8571,49.2696,1501.9016,1477.9016,24.0000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,0.0000,0.0000,-601.0269,-0.2216,0.1616,1,0.0000,0.0000,-15.3621,-22.1621,6.8000,0.0000,0,1,"OOS trades=1 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,50.1431,339.1024,648511.1808,14.1173,0.6076,35,0.8286,23.3298,1442.1313,1411.7313,30.4000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,23.4695,54.6199,11968.7572,2.4247,1.0667,11,0.7273,3.3926,255.6683,242.4683,13.2000,0.4680,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-60.4950,-37.2768,-3.3908,-28.4088,29.4916,27,0.2222,0.0586,-2809.2784,-2840.8784,31.6000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,35.1863,204.3875,25060.3701,0.6164,0.0674,5,0.8000,12.7067,70.0439,61.6439,8.4000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,11.2911,18.8292,584.9102,4.2395,5.8439,26,0.6538,1.7056,451.9521,423.9521,28.0000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,160.2521,0.0000,0.0000,4.7784,0.0000,9,1.0000,0.0000,487.0401,477.8401,9.2000,14.1928,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,57.2981,292.0325,201145.4193,12.9441,0.3382,41,0.9268,28.7305,1330.0058,1294.4058,35.6000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,111.2593,0.0000,0.0000,4.9452,0.0000,10,1.0000,0.0000,506.5218,494.5218,12.0000,1.9418,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,64.8561,942.9528,49851078.8098,19.3922,0.0986,36,0.9167,95.1492,1971.2213,1939.2213,32.0000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-425.5016,-46.5169,-117.6177,-0.9129,0.8485,3,0.0000,0.0000,-82.4852,-91.2852,8.8000,-6.5607,0,1,"OOS trades=3 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,57.0573,556.4008,632917.0014,22.4085,0.4348,56,0.8929,48.7693,2287.2455,2240.8455,46.4000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,70.2284,374.8863,47739375.6625,8.5149,0.3465,15,0.8667,25.1501,869.4905,851.4906,18.0000,1.2308,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-54.1323,-35.5869,-2.8767,-33.8061,34.7622,42,0.1905,0.0590,-3332.6134,-3380.6134,48.0000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,72.8649,0.0000,0.0000,2.6842,0.0000,10,1.0000,0.0000,282.0243,268.4243,13.6000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,18.0379,36.7525,969.6980,8.1236,5.4895,43,0.6047,2.3778,847.1620,812.3620,34.8000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,117.5750,0.0000,0.0000,4.2469,0.0000,12,1.0000,0.0000,436.6874,424.6874,12.0000,6.5182,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,50.5561,340.1460,84761.9735,16.1246,0.2533,61,0.9180,33.3886,1662.0595,1612.4595,49.6000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,123.2726,0.0000,0.0000,8.5388,0.0000,13,1.0000,0.0000,869.4794,853.8794,15.6000,2.4383,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,18.7895,30.4300,455.1726,5.4723,2.8820,45,0.7333,2.8521,594.0260,547.2260,46.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-70.7992,-39.0398,-67.7123,-1.5307,1.4621,7,0.0000,0.0000,-140.6673,-153.0673,12.4000,-3.7680,0,0,""
0,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,66.3675,639.7259,30999188.4194,31.1708,0.2973,52,0.9231,61.3528,3158.6825,3117.0825,41.6000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,59.7049,853.3148,5777328.4692,9.6338,0.1669,22,0.8636,62.7804,981.7800,963.3801,18.4000,0.8996,1,0,""
1,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-37.6346,-29.8560,-3.8937,-23.2356,25.6825,43,0.3256,0.1446,-2273.9598,-2323.5598,49.6000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,92.7147,0.0000,0.0000,2.9079,0.0000,10,1.0000,0.0000,304.7874,290.7874,14.0000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,46.4087,240.1658,2771138.6328,23.3175,1.5854,43,0.8140,13.3292,2366.9474,2331.7474,35.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,91.8802,0.0000,0.0000,3.4917,0.0000,9,1.0000,0.0000,361.5653,349.1653,12.4000,1.9798,1,0,""
3,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,63.3321,0.0000,0.0000,22.5501,0.0000,59,1.0000,0.0000,2300.2087,2255.0087,45.2000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,83.5757,0.0000,0.0000,7.0306,0.0000,14,1.0000,0.0000,719.8586,703.0586,16.8000,1.3196,1,0,""
4,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,60.8116,1097.0381,298811214.8958,32.2552,0.2072,46,0.9348,131.6374,3269.1194,3225.5194,43.6000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,0.0000,0.0000,-540.7723,-0.3175,0.1815,1,0.0000,0.0000,-17.3526,-31.7526,14.4000,0.0000,0,1,"OOS trades=1 < 5"
0,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,65.5795,767.0585,15673341.7553,23.6138,0.2492,44,0.9318,85.3551,2398.5789,2361.3789,37.2000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,79.8061,1106.5956,3792845698.8864,7.9868,0.1295,11,0.8182,66.6467,813.0756,798.6757,14.4000,1.2169,1,0,""
1,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-17.6962,-18.1072,-6.2687,-10.0810,15.8782,43,0.4186,0.4227,-968.0954,-1008.0954,40.0000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,"OOS trades=0 < 5"
2,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,93.0941,0.0000,0.0000,37.9821,0.0000,38,1.0000,0.0000,3827.8067,3798.2067,29.6000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,205.7593,0.0000,0.0000,6.6085,0.0000,8,1.0000,0.0000,669.2502,660.8502,8.4000,2.2102,1,0,""
