symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
BTCUSDT,donchian,chan,40,40,2.0,21,2.0,3.5,0.724,47,857.77,15.32,0.43,0,224,0.004,0.983,0.000,0.000,0,0,0.4752,0,1
BTCUSDT,donchian,chan_ts,50,50,2.0,21,2.0,3.0,-0.160,49,-98.73,17.53,0.29,0,0,0.000,1.000,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,donchian,sig_be,30,30,2.0,21,2.0,3.0,2.991,7,457.64,5.05,0.57,0,218,0.005,0.507,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,ema_crossover,chan,5,40,2.0,21,1.5,1.8,5.892,5,602.77,2.02,0.40,0,120,0.067,0.294,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,chan_ts,5,40,2.0,21,1.5,1.8,6.342,5,766.34,1.99,0.40,0,131,0.000,0.267,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,sig_be,8,40,2.0,10,2.0,3.5,5.901,10,1279.36,4.56,0.60,0,204,0.054,0.329,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,chan,10,10,2.5,21,0.8,3.5,6.676,5,849.82,1.28,0.40,0,101,0.079,0.639,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,chan_ts,15,15,2.5,21,1.0,3.0,4.453,13,1186.96,3.40,0.38,0,137,0.051,0.745,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,keltner_breakout,sig_be,10,10,2.5,14,1.5,3.5,6.450,6,786.04,1.54,0.50,0,114,0.026,0.321,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,supertrend,chan,7,7,3.5,10,2.0,3.5,1.734,35,1748.98,12.49,0.43,0,149,0.007,2.624,0.000,0.000,0,0,0.4676,0,1
BTCUSDT,supertrend,chan_ts,10,10,3.0,14,2.0,4.0,3.012,28,1969.63,10.79,0.50,0,224,0.009,0.537,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,supertrend,sig_be,10,10,3.5,21,2.0,4.0,2.964,6,180.39,2.68,0.67,0,224,0.004,0.413,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,rsi2,chan,5,50,10.0,10,1.2,1.8,13.231,6,1295.55,1.23,0.67,1,9,1.000,0.085,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,rsi2,chan_ts,5,50,10.0,10,1.2,1.8,13.231,6,1295.55,1.23,0.67,1,9,1.000,0.085,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,rsi2,sig_be,5,50,10.0,10,1.2,2.5,16.233,6,1649.52,0.16,0.67,1,25,1.000,0.063,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,rsi_bb_mr,chan,14,25,2.5,10,2.0,1.8,5.204,5,472.27,3.80,0.80,0,17,0.059,0.338,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan_ts,14,25,2.5,10,2.0,1.8,5.204,5,472.27,3.80,0.80,0,17,0.059,0.338,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,sig_be,10,25,2.5,14,1.0,1.8,4.466,5,428.61,4.23,0.80,0,44,0.205,0.273,0.000,0.000,0,0,1.0000,0,1
