symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,2.0,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,2.0,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,2.0,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,2.0,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,14,2.0,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,0.8,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,0.8,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,0.8,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,0.8,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,0.8,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.0,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.0,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.0,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.0,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.0,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.2,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.2,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.2,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.2,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.2,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.5,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.5,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.5,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.5,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,1.5,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,2.0,1.8,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,2.0,2.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,2.0,3.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,2.0,3.5,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,10,10,2.0,21,2.0,4.0,0.000,1,-272.60,2.81,0.00
BTCUSDT,donchian,chan,15,15,2.0,10,0.8,1.8,-2.556,173,-2763.38,44.67,0.29
BTCUSDT,donchian,chan,15,15,2.0,10,0.8,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,0.8,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,0.8,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,0.8,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.0,1.8,-2.235,167,-2738.64,43.98,0.33
BTCUSDT,donchian,chan,15,15,2.0,10,1.0,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.2,1.8,-1.655,165,-2104.37,37.83,0.35
BTCUSDT,donchian,chan,15,15,2.0,10,1.2,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.2,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.2,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.2,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.5,1.8,-1.797,164,-2469.54,41.20,0.36
BTCUSDT,donchian,chan,15,15,2.0,10,1.5,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.5,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.5,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,1.5,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,2.0,1.8,-1.689,163,-2298.29,39.51,0.37
BTCUSDT,donchian,chan,15,15,2.0,10,2.0,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,2.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,2.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,10,2.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,0.8,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,0.8,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,0.8,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,0.8,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,0.8,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.0,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.0,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.2,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.2,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.2,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.2,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.2,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.5,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.5,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.5,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.5,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,1.5,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,2.0,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,2.0,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,2.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,2.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,14,2.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,0.8,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,0.8,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,0.8,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,0.8,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,0.8,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.0,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.0,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.0,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.0,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.0,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.2,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.2,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.2,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.2,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.2,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.5,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.5,2.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.5,3.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.5,3.5,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,1.5,4.0,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,2.0,1.8,0.000,1,587.07,0.00,1.00
BTCUSDT,donchian,chan,15,15,2.0,21,2.0,2.5,0.000,1,587.07,0.00,1.00
