sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
15.3604,37.8238,104.4888,17587.5639,5.8576,0.8385,9.8698,130,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,16.2118,7,0.9699,0.2500,0.2000,0.1500,0.1500,0.0700,0.0999,0.0500,0.0000,0.0000,0.0000
12.2889,25.4851,51.2864,14832.7994,9.3688,0.8154,6.7114,130,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,14.0397,8,0.9692,0.2499,0.2000,0.1499,0.1500,0.0700,0.0996,0.0500,0.0000,0.0000,0.0000
9.0944,16.8757,21.1206,16398.2804,14.1342,0.7670,4.6288,176,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,11.5277,7,0.9675,0.2488,0.1942,0.1476,0.1500,0.0825,0.0979,0.0463,0.0000,1.0000,44.0852
13.1045,71.0798,385.5332,18848.2666,2.0801,0.8512,26.3466,121,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2)",1.0000,14.4173,7,0.9664,0.2499,0.2000,0.1500,0.1500,0.0668,0.0997,0.0500,0.0000,1.0000,125.4038
16.3682,73.3922,471.4681,16654.4304,1.4969,0.8051,19.5555,118,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2)",1.0000,13.2377,6,0.9656,0.2500,0.2000,0.1500,0.1500,0.0657,0.0999,0.0500,0.0000,0.0000,0.0000
12.4546,82.5956,660.9440,21306.5279,1.6042,0.8034,25.5518,117,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2)",1.0000,13.1280,6,0.9648,0.2499,0.2000,0.1500,0.1500,0.0653,0.0996,0.0500,0.0000,1.0000,125.4038
9.2417,30.4907,51.4020,24981.9265,7.2056,0.6256,5.7306,203,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,10.9080,6,0.9645,0.2489,0.2000,0.1495,0.1500,0.0875,0.0981,0.0306,0.0000,1.0000,31.5360
10.6826,38.5427,168.3279,27151.4535,4.8519,0.7047,8.2879,149,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,10.7352,5,0.9639,0.2496,0.2000,0.1500,0.1500,0.0759,0.0990,0.0394,0.0000,1.0000,35.1931
11.2911,42.8044,170.9977,28458.4344,5.2794,0.7007,8.4217,147,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,11.3473,6,0.9633,0.2497,0.2000,0.1500,0.1500,0.0753,0.0993,0.0390,0.0000,1.0000,55.5213
11.1822,21.6495,41.3905,12434.5746,11.4915,0.8103,5.6657,116,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,12.8695,7,0.9632,0.2497,0.1999,0.1494,0.1500,0.0649,0.0993,0.0500,0.0000,0.0000,0.0000
14.3721,80.8197,379.6925,15553.3708,1.8948,0.8750,28.4714,112,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2)",1.0000,14.3500,7,0.9631,0.2500,0.2000,0.1500,0.1500,0.0633,0.0998,0.0500,0.0000,0.0000,0.0000
12.7954,95.0453,776.3087,20782.4516,1.5527,0.8545,30.6150,110,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2)",1.0000,15.2786,7,0.9621,0.2499,0.2000,0.1500,0.1500,0.0625,0.0997,0.0500,0.0000,1.0000,454.1405
14.1829,54.0799,296.6217,18487.9214,3.5148,0.8704,19.4105,108,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,13.8359,9,0.9615,0.2500,0.2000,0.1500,0.1500,0.0617,0.0998,0.0500,0.0000,0.0000,0.0000
17.8499,90.4830,678.2717,21087.8259,1.9705,0.9065,35.9634,107,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,17.9155,5,0.9612,0.2500,0.2000,0.1500,0.1500,0.0613,0.1000,0.0500,0.0000,0.0000,0.0000
11.0787,44.3932,163.8350,11823.2541,3.1252,0.7963,11.4218,108,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",1.0000,11.5424,8,0.9602,0.2497,0.2000,0.1500,0.1500,0.0617,0.0992,0.0496,0.0000,0.0000,0.0000
17.3043,83.4538,619.4900,20380.7961,2.2074,0.9038,31.8285,104,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,17.0497,6,0.9600,0.2500,0.2000,0.1500,0.1500,0.0600,0.1000,0.0500,0.0000,0.0000,0.0000
10.1075,36.0958,97.2716,22198.5974,6.3506,0.6711,6.6961,149,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,11.0961,6,0.9595,0.2494,0.2000,0.1498,0.1500,0.0759,0.0987,0.0357,0.0000,1.0000,35.5783
15.2454,66.6238,405.1489,18043.8091,2.8081,0.8835,23.9411,103,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,15.0616,8,0.9595,0.2500,0.2000,0.1500,0.1500,0.0596,0.0999,0.0500,0.0000,0.0000,0.0000
13.4333,75.8263,489.0751,30317.0336,3.1077,0.7143,14.7180,126,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,12.6572,5,0.9588,0.2499,0.2000,0.1500,0.1500,0.0686,0.0998,0.0405,0.0000,1.0000,105.8569
13.6865,51.9441,267.8925,15867.9614,3.5957,0.8713,17.9552,101,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,13.3418,8,0.9584,0.2499,0.2000,0.1500,0.1500,0.0587,0.0998,0.0500,0.0000,0.0000,0.0000
13.2790,55.7252,248.8355,12101.6296,2.3198,0.7885,11.7128,104,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",1.0000,11.2276,8,0.9584,0.2499,0.2000,0.1500,0.1500,0.0600,0.0997,0.0487,0.0000,0.0000,0.0000
12.1966,62.6851,254.6134,25256.1808,4.4585,0.7063,10.6484,126,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,12.6923,6,0.9576,0.2499,0.2000,0.1500,0.1500,0.0686,0.0996,0.0396,0.0000,1.0000,105.8569
12.1589,41.3088,119.8293,12036.9733,4.6753,0.7714,8.4074,105,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",1.0000,10.3038,7,0.9566,0.2498,0.2000,0.1500,0.1500,0.0604,0.0995,0.0468,0.0000,0.0000,0.0000
10.0739,35.9336,103.5442,22486.0841,6.2646,0.6463,6.5483,147,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,11.4125,7,0.9561,0.2494,0.2000,0.1498,0.1500,0.0753,0.0987,0.0329,0.0000,1.0000,56.2962
17.8711,82.7684,509.7140,14630.0028,1.9308,0.8000,19.9612,95,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2)",1.0000,15.6683,8,0.9560,0.2500,0.2000,0.1500,0.1500,0.0560,0.1000,0.0500,0.0000,0.0000,0.0000
16.2508,72.3829,502.1740,16827.9061,2.5869,0.8936,25.5079,94,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,16.2403,5,0.9555,0.2500,0.2000,0.1500,0.1500,0.0556,0.0999,0.0500,0.0000,0.0000,0.0000
12.3950,62.7349,380.2891,12636.2279,2.2400,0.8242,17.0850,91,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,13.0722,8,0.9536,0.2499,0.2000,0.1500,0.1500,0.0542,0.0996,0.0500,0.0000,0.0000,0.0000
10.5376,45.9698,211.1515,12896.6441,2.9530,0.7429,9.3320,105,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,11.5199,7,0.9526,0.2496,0.2000,0.1500,0.1500,0.0604,0.0990,0.0437,0.0000,0.0000,0.0000
12.1579,86.4394,526.5976,13989.4810,2.1174,0.8409,23.5081,88,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=30,bb_std=2)",1.0000,13.5287,6,0.9521,0.2498,0.2000,0.1500,0.1500,0.0527,0.0995,0.0500,0.0000,0.0000,0.0000
14.5307,63.8245,1017.7154,26756.1093,2.8778,0.7604,15.6886,96,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,13.8744,8,0.9519,0.2500,0.2000,0.1500,0.1500,0.0565,0.0999,0.0456,0.0000,1.0000,66.4482
11.1751,67.9140,488.4104,17500.8405,2.3306,0.7426,15.6655,101,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2)",1.0000,13.3699,8,0.9513,0.2497,0.2000,0.1500,0.1500,0.0587,0.0993,0.0436,0.0000,0.0000,0.0000
11.9099,56.9258,266.6550,9851.2764,2.3937,0.8023,14.2920,86,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=20,bb_std=2)",1.0000,11.0495,7,0.9511,0.2498,0.2000,0.1500,0.1500,0.0518,0.0995,0.0500,0.0000,-1.0000,0.0000
15.3057,83.2593,1700.8439,27527.7617,2.1283,0.7609,19.8871,92,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,14.7819,7,0.9502,0.2500,0.2000,0.1500,0.1500,0.0546,0.0999,0.0457,0.0000,-1.0000,0.0000
12.4629,80.2424,686.7753,21391.9559,2.5936,0.7347,14.9415,98,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2)",1.0000,13.0258,7,0.9496,0.2499,0.2000,0.1500,0.1500,0.0574,0.0996,0.0427,0.0000,-1.0000,0.0000
10.5213,45.2541,213.9898,11718.1659,3.0773,0.7396,9.0361,96,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=20,bb_std=2)",1.0000,11.4883,9,0.9483,0.2496,0.2000,0.1500,0.1500,0.0565,0.0990,0.0433,0.0000,-1.0000,0.0000
21.5520,97.7039,806.3806,12684.9721,1.6713,0.8442,24.2686,77,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,18.0427,6,0.9472,0.2500,0.2000,0.1500,0.1500,0.0473,0.1000,0.0500,0.0000,-1.0000,0.0000
13.7006,56.2340,860.4411,22800.7255,3.3477,0.7500,13.0930,88,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,13.1695,7,0.9469,0.2499,0.2000,0.1500,0.1500,0.0527,0.0998,0.0444,0.0000,-1.0000,0.0000
