timestamp,open,high,low,close,volume
1683025200000,153.99,154.61,153.96,154.09,5896.867
1683028800000,154.1,154.33,153.62,153.94,6274.061
1683032400000,153.93,154.06,153.23,153.4,6766.841
1683036000000,153.4,154.55,152.86,153.97,18865.393
1683039600000,153.99,154.88,153.71,154.46,7402.632
1683043200000,154.44,154.54,153.73,153.84,6473.423
1683046800000,153.83,153.89,152.66,152.76,11624.281
1683050400000,152.75,153.35,152.6,153.07,8498.518
1683054000000,153.07,153.4,152.74,152.82,7890.627
1683057600000,152.83,152.98,152.59,152.87,5528.375
1683061200000,152.86,153.12,152.62,153.06,4025.902
1683064800000,153.06,153.21,152.66,152.66,3706.971
1683068400000,152.66,152.77,152.36,152.62,4917.288
1683072000000,152.63,152.86,151.92,151.93,12107.842
1683075600000,151.93,152.17,151.8,151.91,4294.639
1683079200000,151.91,152.19,151.31,151.8,14897.108
1683082800000,151.8,152.51,151.67,152.11,4760.795
1683086400000,152.1,152.11,151.71,151.83,5731.352
1683090000000,151.83,152.13,151.53,151.67,4576.403
1683093600000,151.65,152.33,151.52,152.16,7464.004
1683097200000,152.16,152.53,151.73,151.74,6093.035
1683100800000,151.75,152.59,151.44,152.47,11534.452
1683104400000,152.47,152.5,151.83,152.12,4802.455
1683108000000,152.13,152.99,152.0,152.94,7308.499
1683111600000,152.93,152.93,151.84,151.89,9862.459
1683115200000,151.85,152.08,151.03,151.28,9382.075
1683118800000,151.26,153.05,151.13,152.7,12797.449
1683122400000,152.7,152.99,152.22,152.53,10445.45
1683126000000,152.5,152.51,151.58,152.33,6344.576
1683129600000,152.34,153.57,151.87,153.45,12318.302
1683133200000,153.45,153.93,152.69,153.2,14312.408
1683136800000,153.2,154.29,152.76,153.89,14673.685
1683140400000,153.89,153.99,153.1,153.31,9590.917
1683144000000,153.31,153.98,152.8,153.63,8807.434
1683147600000,153.64,154.8,153.61,154.47,12934.147
1683151200000,154.48,155.09,154.48,154.63,9262.94
1683154800000,154.63,155.14,154.46,155.13,8100.236
1683158400000,155.12,155.85,155.04,155.73,12783.941
1683162000000,155.73,156.49,155.56,156.18,7570.282
1683165600000,156.2,156.68,154.98,155.26,12942.542
1683169200000,155.25,155.75,154.97,155.59,9916.213
1683172800000,155.59,155.75,155.53,155.75,4642.281
1683176400000,155.75,156.3,155.74,156.11,6925.631
1683180000000,156.11,156.28,155.95,156.22,3615.696
1683183600000,156.21,156.5,155.84,156.18,7117.691
1683187200000,156.18,156.31,155.83,156.11,5170.309
1683190800000,156.11,156.25,155.76,156.21,3701.13
1683194400000,156.21,156.7,156.09,156.33,7714.191
1683198000000,156.35,156.65,155.98,156.26,5755.919
1683201600000,156.26,156.48,155.68,155.87,7860.527
1683205200000,155.86,156.16,155.04,155.23,14795.398
1683208800000,155.22,155.81,155.21,155.41,6931.692
1683212400000,155.39,155.99,155.27,155.42,6070.707
1683216000000,155.4,155.91,155.04,155.45,8594.181
1683219600000,155.47,155.55,154.5,154.77,8894.811
1683223200000,154.77,155.35,154.58,155.29,7026.005
1683226800000,155.29,156.09,155.01,155.93,7293.276
1683230400000,155.93,156.1,155.41,155.71,6843.636
1683234000000,155.71,156.04,155.5,156.0,4850.884
1683237600000,155.99,156.09,155.52,155.7,3614.095
1683241200000,155.71,156.0,155.17,155.42,6696.438
1683244800000,155.43,155.69,154.62,155.0,9938.435
1683248400000,154.99,156.08,154.65,156.08,7941.823
1683252000000,156.07,156.46,155.48,156.2,8574.182
1683255600000,156.2,156.34,155.71,155.87,5735.45
1683259200000,155.86,156.15,155.33,155.51,5692.184
1683262800000,155.52,155.87,155.3,155.49,4425.813
1683266400000,155.49,155.92,155.48,155.88,2640.814
1683270000000,155.89,156.18,155.38,155.51,5745.959
1683273600000,155.5,155.81,155.39,155.77,3784.779
1683277200000,155.76,156.32,155.46,155.59,7635.684
1683280800000,155.6,156.08,155.47,156.03,5680.555
1683284400000,156.02,156.32,155.77,156.22,5606.931
1683288000000,156.22,156.28,154.47,155.4,11687.509
1683291600000,155.4,156.32,155.35,155.89,6646.314
1683295200000,155.88,157.3,155.53,156.92,16854.754
1683298800000,156.93,158.12,156.89,157.75,27574.195
1683302400000,157.75,158.5,157.38,157.76,13168.201
1683306000000,157.78,158.03,157.23,157.69,6320.946
1683309600000,157.7,158.2,156.9,157.44,6081.967
1683313200000,157.45,157.71,156.9,157.68,4162.212
1683316800000,157.68,157.75,157.33,157.57,2459.053
1683320400000,157.56,157.78,157.01,157.2,3022.959
1683324000000,157.2,157.78,157.15,157.47,3054.49
1683327600000,157.47,158.4,157.46,158.12,6321.309
1683331200000,158.13,158.59,157.76,158.1,8840.438
1683334800000,158.1,158.94,157.62,157.87,9360.578
1683338400000,157.86,158.7,157.61,158.56,9125.132
1683342000000,158.56,158.57,157.35,157.54,8036.093
1683345600000,157.53,157.97,157.44,157.84,3719.988
1683349200000,157.85,157.88,157.4,157.73,5117.916
1683352800000,157.74,157.98,157.58,157.83,4200.722
1683356400000,157.84,158.13,157.52,157.68,4483.963
1683360000000,157.68,157.68,156.19,156.78,13733.779
1683363600000,156.79,156.97,156.48,156.8,4819.219
1683367200000,156.79,157.37,156.36,156.58,11093.65
1683370800000,156.57,157.47,156.55,157.43,5349.293
1683374400000,157.46,157.66,156.7,157.0,10231.898
1683378000000,157.0,157.0,156.0,156.44,8592.193
1683381600000,156.45,156.45,154.21,154.46,25392.226
1683385200000,154.43,154.64,153.64,154.35,8529.149
1683388800000,154.36,155.17,154.01,155.09,7076.265
1683392400000,155.1,155.81,154.75,155.66,5855.926
1683396000000,155.66,155.96,155.53,155.68,5115.525
1683399600000,155.69,156.47,155.48,156.11,7483.851
1683403200000,156.14,156.17,155.72,155.79,3972.371
1683406800000,155.79,156.53,155.75,156.52,4482.658
1683410400000,156.52,156.76,156.19,156.22,6694.17
1683414000000,156.22,156.49,155.92,156.05,6370.385
1683417600000,156.07,157.15,155.68,157.06,9654.342
1683421200000,157.05,157.48,156.47,156.6,7421.555
1683424800000,156.6,157.22,156.59,156.89,3908.007
1683428400000,156.92,157.37,156.64,157.36,5219.532
1683432000000,157.35,157.62,157.04,157.38,5014.094
1683435600000,157.39,157.55,157.3,157.33,4651.54
1683439200000,157.33,157.83,157.3,157.59,5129.329
1683442800000,157.6,158.19,157.49,158.06,4986.944
1683446400000,158.05,158.5,157.71,157.97,7654.703
1683450000000,157.97,158.28,157.47,157.78,6873.911
1683453600000,157.78,158.28,157.7,158.12,4393.725
1683457200000,158.14,158.42,157.8,158.39,6409.616
1683460800000,158.38,158.52,157.99,158.15,6074.536
1683464400000,158.16,158.44,157.72,158.0,5454.224
