timestamp,open,high,low,close,volume
1683025200000,1828.71,1833.86,1828.3,1832.95,56809.937
1683028800000,1832.96,1839.8,1827.08,1831.4,119794.994
1683032400000,1831.4,1835.19,1823.0,1827.8,142332.431
1683036000000,1827.79,1866.6,1823.82,1851.26,739627.499
1683039600000,1851.26,1869.27,1842.65,1857.84,347917.544
1683043200000,1857.84,1862.35,1852.07,1854.33,142557.949
1683046800000,1854.34,1861.79,1852.34,1860.0,91512.028
1683050400000,1860.0,1876.89,1856.17,1869.93,194873.437
1683054000000,1869.93,1882.6,1865.7,1867.68,194972.274
1683057600000,1867.69,1875.0,1866.51,1868.73,91824.249
1683061200000,1868.73,1873.21,1867.42,1870.91,42592.834
1683064800000,1870.9,1876.42,1870.54,1872.98,67999.126
1683068400000,1872.99,1875.4,1867.13,1869.2,60176.78
1683072000000,1869.21,1870.03,1855.58,1859.28,126648.251
1683075600000,1859.29,1864.65,1859.21,1862.84,57114.542
1683079200000,1862.84,1863.21,1852.81,1860.3,94342.212
1683082800000,1860.31,1863.29,1856.86,1861.79,46032.536
1683086400000,1861.79,1862.26,1856.34,1862.14,63089.724
1683090000000,1862.14,1862.49,1857.92,1859.67,34980.89
1683093600000,1859.67,1869.17,1856.95,1865.31,104117.299
1683097200000,1865.3,1867.12,1863.22,1864.55,46586.535
1683100800000,1864.55,1871.75,1860.0,1867.59,100149.959
1683104400000,1867.59,1868.79,1864.3,1867.53,46846.028
1683108000000,1867.53,1868.77,1863.67,1864.0,52951.397
1683111600000,1864.0,1866.99,1857.62,1858.7,81970.404
1683115200000,1858.69,1861.84,1843.93,1849.31,276883.457
1683118800000,1849.31,1858.9,1841.71,1855.89,227010.822
1683122400000,1855.89,1857.09,1845.0,1847.57,148920.01
1683126000000,1847.56,1853.97,1843.12,1852.19,121128.328
1683129600000,1852.2,1866.0,1850.0,1864.26,156415.51
1683133200000,1864.26,1888.0,1860.0,1874.55,400298.665
1683136800000,1874.55,1898.0,1865.21,1884.38,701014.624
1683140400000,1884.39,1893.0,1866.19,1867.18,337001.232
1683144000000,1867.19,1877.37,1856.33,1872.81,179812.207
1683147600000,1872.81,1898.99,1872.2,1888.83,275432.846
1683151200000,1888.83,1917.29,1888.83,1906.13,344265.704
1683154800000,1906.13,1908.39,1897.91,1904.74,121625.367
1683158400000,1904.74,1905.66,1895.17,1901.32,126623.621
1683162000000,1901.31,1903.65,1896.47,1901.49,64907.966
1683165600000,1901.48,1907.91,1897.51,1901.7,86302.273
1683169200000,1901.71,1904.57,1897.64,1902.94,77519.096
1683172800000,1902.94,1904.74,1899.72,1900.22,52459.115
1683176400000,1900.22,1903.33,1897.0,1902.3,67692.998
1683180000000,1902.3,1903.96,1896.25,1900.32,62235.48
1683183600000,1900.33,1901.04,1895.29,1898.0,65808.748
1683187200000,1898.0,1904.38,1895.64,1901.2,73638.506
1683190800000,1901.2,1902.65,1897.72,1902.64,42522.339
1683194400000,1902.65,1918.61,1900.81,1911.13,195898.565
1683198000000,1911.12,1912.79,1902.11,1903.9,92821.723
1683201600000,1903.89,1907.75,1892.0,1897.89,188552.29
1683205200000,1897.89,1899.94,1876.85,1884.78,331491.443
1683208800000,1884.78,1890.99,1882.97,1885.68,181223.794
